image;n;time;algorithm;pixels
./moonlit_golf_4k.png;1000;0.47099828720092773;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2610971927642822;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23799967765808105;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.24000310897827148;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.22182774543762207;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23099994659423828;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.22700262069702148;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.20899653434753418;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.19900012016296387;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.19600129127502441;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.22900152206420898;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.24700498580932617;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2529938220977783;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2579493522644043;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.3139986991882324;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.3580000400543213;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.44099974632263184;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.28899717330932617;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.32700252532958984;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.29296374320983887;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.352994441986084;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2703685760498047;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23399686813354492;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2601611614227295;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.254000186920166;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2740015983581543;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.29905247688293457;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2540011405944824;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23400139808654785;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.3300004005432129;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2889981269836426;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2629973888397217;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.21799898147583008;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.22061419486999512;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.20211553573608398;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.19307637214660645;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23199892044067383;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.2259986400604248;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23664188385009766;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;0.23275113105773926;<function binary_search_iterative at 0x000001B8AD354CA8>;8388608
./moonlit_golf_4k.png;1000;1.4638166427612305;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2936670780181885;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.25699806213378906;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.31572723388671875;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2515566349029541;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.23199987411499023;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.24291467666625977;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.23800969123840332;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.24499964714050293;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2329998016357422;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.23200058937072754;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.27700185775756836;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.21599864959716797;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2069990634918213;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.21800017356872559;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;1.1040005683898926;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2740020751953125;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2025890350341797;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2058725357055664;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.22099804878234863;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.29700160026550293;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2530033588409424;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.25300097465515137;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2019941806793213;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.21587204933166504;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.19900083541870117;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2050001621246338;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.22189855575561523;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.22599554061889648;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.20199871063232422;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.21599960327148438;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.2109980583190918;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.19899535179138184;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.339998722076416;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;1.93916916847229;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.36954474449157715;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.25600242614746094;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.27399158477783203;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.28099846839904785;<function exponential_search at 0x000001B8AD3543A8>;8388608
./moonlit_golf_4k.png;1000;0.27199792861938477;<function exponential_search at 0x000001B8AD3543A8>;8388608
